name,area,method,fix
sample A,952568,non-induced,
sample A,989673,non-induced,
sample A,891414,non-induced,
sample A,1000236,induced,
sample A,873675,induced,
sample A,998942,induced,
sample B,172467,non-induced,
sample B,198119,non-induced,
sample B,148568,non-induced,
sample B,1081182,induced,
sample B,1194518,induced,
sample B,1169514,induced,
sample C,523835,non-induced,
sample C,620069,non-induced,
sample C,940859,non-induced,
sample C,7490824,induced,
sample C,7469250,induced,
sample C,7481896,induced,
blank,2457,induced,
blank,2625,induced,
blank,2705,induced,
blank,3102,non-induced,
blank,2409,non-induced,
blank,1585,non-induced,
